paper_id,title,doi,confidence_score,final_confidence
BES-0064,Decentralized and Biometric-Authenticated E-Voting System: A Blockchain-Based Approach,10.22214/ijraset.2025.67653,0.9,HIGH
BES-0065,Smart Contract-Based Decentralized Voting System for Transparent Elections on Ethereum Blockchain,10.55041/isjem03696,0.9,HIGH
BES-0066,A Secure E-Voting System Using Blockchain Ethereum Technology and Smart Contracts,10.22214/ijraset.2025.71860,0.9,HIGH
BES-0070,A Decentralized and Privacy-Preserving Voting System with Enigma,10.1109/BCCA66705.2025.11227184,0.9,HIGH
BES-0072,Secure Blockchain E-Voting with Anti-Spoofing and ZK Proofs,10.55041/ijsrem52345,0.9,HIGH
BES-0073,Fingerprint-Authenticated Blockchain E-Voting: A Secure Digital Election Framework,10.55948/ijerste.2025.0702,0.9,HIGH
BES-0074,Android-based Blockchain E-Voting System for Secure and Transparent Elections,10.1109/ICISS63372.2025.11076493,0.9,HIGH
BES-0075,"A Scalable and Verifiable Blockchain-Based E-Voting Framework for Transparent, Secure and User-Centric Democratic Elections",10.5220/0013931800004919,0.9,HIGH
BES-0076,Blockchain Framework for E-Voting in Bulgaria,10.1109/BdKCSE67969.2025.11300525,0.9,HIGH
BES-0077,A Feature Centric Survey of Blockchain-Based E-Voting Systems with Secure QR Authentication ‎and Post-Quantum Cryptographic Enhancement,10.14419/0g3a5r31,0.9,HIGH
BES-0078,Implementasi Smart Contract Blockchain Ethereum Pada Aplikasi E-voting,10.36423/index.v7i1.2177,0.7,MEDIUM
BES-0079,Enhancing Transparency and Security in Elections: A Blockchain-Based E-Voting System(eVoteChain),10.1109/ICoEIT63558.2025.11211646,0.9,HIGH
BES-0080,A Secure and Intelligent Blockchain-Based E-Voting System Using Multimodal Voter Authentication and Smart Contract Optimization,10.1109/ICFT66708.2025.11336389,0.9,HIGH
BES-0081,"Secure E-voting authentication system employing biometric technology, Crypto-Watermarking Approach and blockchain technology: A Review",10.47831/mjpas.v3i2.324,0.7,MEDIUM
BES-0082,A Lightweight Blockchain Framework for Secure and Efficient Small-Scale E-Voting,10.1109/ICDICI66477.2025.11134882,0.9,HIGH
BES-0083,A Study on POA Consensus Mechanism in Blockchain-Enabled E-Voting Platforms,10.1109/GECOST66002.2025.11325003,0.9,HIGH
BES-0084,Decentralized and Thrustless E-Voting Leveraging Blockchain for Democratic Integrity,10.1109/ICCPCT65132.2025.11176479,0.9,HIGH
BES-0085,Implementation of Blockchain Technology in E-Voting Using Smart Contract and ZK-SNARK,10.34148/teknika.v14i3.1358,0.9,HIGH
BES-0086,A Secure and Transparent Blockchain driven E-Voting System using Smart Contract and IPFS-based Scalability,10.1109/GCON65540.2025.11173301,0.9,HIGH
BES-0087,Hybrid E-Voting System with Blockchain Integration and Polling Station Location Verification to Ensure Security and Legitimacy in Digital Elections,10.38124/ijsrmt.v4i7.666,0.9,HIGH
BES-0088,"Electwithme: A Secure-Balloting, Coercion-Resistant, Scalable, And Optimized E-Voting System Using Blockchain Technology",10.64252/c31gp995,0.9,HIGH
BES-0089,Next-Generation E-Voting Security using Blockchain Technology,10.1109/CISES66934.2025.11265437,0.9,HIGH
BES-0090,Blockchain Based E-Voting System Hosted on Cloud,10.1109/ICDT63985.2025.10986452,0.7,MEDIUM
BES-0091,SecureVote: Enhancing Electoral Integrity Using Blockchain-Based E-Voting,10.1109/iccsai64074.2025.11064040,0.9,HIGH
BES-0092,A Blockchain and Face Recognition Based E-Voting System,10.22214/ijraset.2025.68648,0.9,HIGH
BES-0093,"E-Voting System Using Machine Learning, Blockchain, and Cryptography",10.71097/ijsat.v16.i2.6512,0.7,MEDIUM
BES-0094,Increasing Scalability of E-voting System Based on Public Blockchain Using AVS,10.1109/ICEIEC65904.2025.11273117,0.9,HIGH
BES-0095,Develop a Performance based Right-To-Recall e-Voting System in India using Blockchain Technology,10.1109/ACROSET66531.2025.11281359,0.9,HIGH
BES-0096,Decentralized E-Voting System: Enhancing Security and Trust using Ethereum Blockchain,10.1109/ICAISS61471.2025.11042062,0.9,HIGH
BES-0097,Blockchain Based Transparent and Trustworthy E-Voting System,10.1109/Balkancom65827.2025.11186031,0.9,HIGH
BES-0098,Sistem E-Voting berbasis Blockchain dengan Autentikasi Biometrik Sidik Jari dan Protokol Zero-Knowledge Proof Untuk Pengaman Privasi,10.33395/jmp.v14i2.15536,0.9,HIGH
BES-0099,Design and Implementation of a Secure Blockchain-based E-Voting Architecture with Zero-Knowledge Proofs and Smart Contracts,10.1109/ICoICI65217.2025.11252722,0.9,HIGH
BES-0100,Optimalisasi Sistem Pemilu Melalui Implementasi E-Voting Berbasis Blockchain Dengan Keamanan Kriptografi AES-128,10.47561/jtik.v18i2.343,0.9,HIGH
BES-0101,E-Voting System Based on Blockchain,10.1109/ICCSAI64074.2025.11064001,0.7,MEDIUM
BES-0102,Decentralized E-Voting Using Blockchain With Biometrics,10.1109/ICCAMS65118.2025.11233966,0.9,HIGH
BES-0103,Applicatin of Blockchain Technology for E-Voting Systems Using Smart Contracta,10.59141/jist.v6i5.9046,0.9,HIGH
BES-0104,Leveraging Blockchain for the Design and Realization of a Secure E-Voting Mechanism,10.4108/eai.28-4-2025.2358030,0.7,MEDIUM
BES-0105,Safeguarding E-Voting with Blockchain: A Transparent and Reliable Solution,10.1109/ICRAIS66073.2025.11234696,0.9,HIGH
BES-0106,Blockchain-Based Framework for Secure and Transparent E-Voting Using Ethereum: An Alternative to Traditional EVMs,10.1109/InC465408.2025.11256214,0.9,HIGH
BES-0107,E-Voting System Over Conventional Voting System Using Blockchain Technology,10.1109/ICE2CPT66440.2025.11340523,0.7,MEDIUM
BES-0108,Enhanced Comparison of Consensus Algorithms on Distributed E-Voting Application Using Blockchain,10.1109/ICCIES63851.2025.11032199,0.7,MEDIUM
BES-0109,Implementation of Zero Knowledge Proof and Smart Contract for E-Voting System on Polygon Blockchain,10.1109/ICADEIS65852.2025.10932999,0.9,HIGH
BES-0110,Decentralized E-Voting : Using Ethereum Blockchain,10.1109/OTCON65728.2025.11070852,0.9,HIGH
BES-0111,A Secure and Distributed Blockchain-Based E-Voting System for Multi-Level Elections with Encrypted Authentication,10.1109/CSITSS67709.2025.11294662,0.9,HIGH
BES-0112,A Secure E-Voting System With Blockchain Using Face Authentication Technology,10.4108/eai.28-4-2025.2357779,0.9,HIGH
BES-0113,Blockchain-enabled Secured and Transparent E-Voting System using Smart Contracts,10.47164/ijngc.v16i1.1843,0.9,HIGH
BES-0114,A Quantum-Secure and Blockchain-Integrated E-Voting Framework with Identity Validation,10.48550/arXiv.2511.16034,0.9,HIGH
BES-0115,Survey on Secure E-Voting Platform,10.55041/ijsrem41519,0.7,MEDIUM
BES-0116,A Federated AI and DAG-Based Framework for Secure and Scalable E-Voting,10.4108/eai.28-4-2025.2357759,0.9,HIGH
BES-0117,"Towards Secure Decentralized Applications and Consensus Protocols in Blockchains (on Selfish Mining, Undercutting Attacks, DAG-Based Blockchains, E-Voting, Cryptocurrency Wallets, Secure-Logging, and CBDC)",10.48550/arXiv.2512.13213,0.7,MEDIUM
BES-0118,Blockchain-Based Digital Voting Systems: Security and Usability Analysis,10.65521/ijacect.v13i1.58,0.9,HIGH
BES-0119,CREATION OF A BLOCKCHAIN PLATFORM FOR ELECTRONIC VOTING,10.28925/2663-4023.2025.28.860,0.7,MEDIUM
BES-0120,Research on blockchain electronic voting system based on face recognition and deep fake face detection,10.53894/ijirss.v8i6.10251,0.9,HIGH
BES-0122,A Blockchain-Based Voting System Using Zero-Knowledge Proofs for Enhanced Privacy and Verifiability,10.1109/CIACON65473.2025.11189735,0.9,HIGH
BES-0124,Blockchain Ballot for Enhancing Electoral Integrity through Decentralized Voting,10.1109/ICCAMS65118.2025.11234045,0.9,HIGH
BES-0125,College Electoral System Using Blockchain Technology,10.1109/ICSSES64899.2025.11009278,0.9,HIGH
BES-0126,Unmasking Electoral Finance: The ElectraChain Blockchain Solution,10.1109/ISCON65210.2025.11341296,0.7,MEDIUM
BES-0127,Towards Practical Implementation of ElectraChain: A Blockchain-Based Solution for Transparent Electoral Finance,10.1109/ICRITO66076.2025.11241653,0.9,HIGH
BES-0128,Enhancing electoral integrity : A blockchain-based voting system for secure and transparent elections,10.47974/jios-1886,0.9,HIGH
BES-0129,FaceChainVote: A Unified Blockchain-Driven AI Electoral System,10.22214/ijraset.2025.72143,0.9,HIGH
BES-0131,Designing a Post-Quantum Blockchain Voting Protocol with Zero-Knowledge Proofs for Tamper-Resilient Electoral Infrastructure,10.54660/ijmfd.2025.6.2.71-79,0.9,HIGH
BES-0132,Secure Vote: Revolutionising Democracy Through Blockchain Technology,10.1109/ICCCT63501.2025.11018954,0.9,HIGH
BES-0133,Future-Generation Framework for a Blockchain-Powered Election System,10.52783/jisem.v10i35s.6018,0.9,HIGH
BES-0134,Blockchain-Based Voting System for Transparent and Tamper-Proof Elections in Rwanda,10.70619/vol5iss6pp70-89,0.9,HIGH
BES-0136,Blockchain-Based Secure Voting System: A Transparent and Tamper-Proof Approach to Modern Elections,10.5220/0013910600004919,0.9,HIGH
BES-0137,Developing a Secured Voteing Sysytem Using Blockchain Trechnology,10.51583/ijltemas.2025.140400066,0.9,HIGH
BES-0138,A Secure Approach to Mitigate Double Voting in Electronic Voting Systems using Blockchain Technology,10.1109/ICCPCT65132.2025.11176586,0.9,HIGH
BES-0139,Revolutionizing Democracy: How Blockchain Technology Will Be Transforming Indian Voting System,10.36948/ijfmr.2025.v07i04.51839,0.7,MEDIUM
BES-0140,Revolutionizing Secure Elections: Leveraging Blockchain for Transparent and Immutable Online Voting,10.1109/ICNSoC66817.2025.00103,0.9,HIGH
BES-0141,Blockchain-Based Distributed Electronic Voting System Ensuring Privacy and Integrity through Smart Contracts,10.22214/ijraset.2025.71401,0.9,HIGH
BES-0143,EVALUATION OF ELECTRONIC BASED VOTING SYSTEM AND DESIGN OF BLOCK-CHAIN-BASED ELECTRONIC VOTING SYSTEM ENHANCED WITH FINGERPRINT AND FACIAL RECOGNITION TECHNOLOGIES TO ADDRESS IMPERSONATION,10.33003/fjs-2025-0907-3701,0.9,HIGH
BES-0144,Blockchain in Electronic Voting Systems: Trust and Security Challenges,10.63345/sjaibt.v2.i4.108,0.9,HIGH
BES-0145,Distributed Ledger Voting System Using Blockchain,10.1109/INCIP64058.2025.11020487,0.7,MEDIUM
BES-0146,A Blockchain-based Decentralized Framework for Trust Management and Secure Voting,10.1109/ICMCSI64620.2025.10883609,0.9,HIGH
BES-0147,Blockchain and AI-Driven Palmprint Biometrics for Secure Voting Systems in E-Governance Applications,10.1109/ICDT63985.2025.10986302,0.9,HIGH
BES-0148,Enhancing Fairness and Transparency in Electronic Voting with Blockchain-Based Identity Management,10.1109/ICEEI68459.2025.11330477,0.9,HIGH
BES-0149,MODEL OF ELECTRONIC VOTING USING HYPERLEDGER AND NEUROADAPTIVE APPROACH IN RISK MANAGEMENT IN CYBER-PHYSICAL SYSTEMS,10.28925/2663-4023.2025.28.784,0.9,HIGH
BES-0150,VoteBlock - A Decentralized Online Voting Solution with Blockchain,10.1109/ICOEI65986.2025.11013208,0.9,HIGH
BES-0152,A Blockchain-Enabled Approach to Secure and Transparent Electronic Voting,10.1109/AIC66080.2025.11212204,0.9,HIGH
BES-0153,Blockchain consensus mechanisms for democratic voting environments,10.1109/IPDPSW66978.2025.00170,0.9,HIGH
BES-0154,Blockchain-Based Online Voting System: Enhancing Security and Transparency in Elections Through Advanced Cryptographic Integration,10.1109/ACROSET66531.2025.11281000,0.9,HIGH
BES-0155,Online Voting System Using Blockchain: A Secure and Transparent Approach,10.55041/ijsrem50471,0.9,HIGH
BES-0156,Remote Voting System for Migrant People,10.38124/ijisrt/25may945,0.9,HIGH
BES-0157,Blockchain-“Based Voting System”: Comprehensive Analysis and Future Prospects,10.1109/ICCSAI64074.2025.11064730,0.7,MEDIUM
BES-0158,Blockchain EOSIO System Based on Vague Sets and Huawei Cloud,10.1109/MICCIS66057.2025.00079,0.9,HIGH
BES-0160,Voter Verification in an Election Using Merkle Tree,10.22214/ijraset.2025.66154,0.7,MEDIUM
BES-0162,SelectVote Byzantine Fault Tolerance for Evidence Custody: Virtual Voting Consensus with Environmental Compensation,10.3390/s25226846,0.9,HIGH
BES-0163,Blockchain-Based Voting for Diaspora Communities: A Secure Remote Solution,10.70619/vol5iss12pp30-43-695,0.9,HIGH
BES-0169,"BP-Vot: Blockchain-Based e-Voting Using Smart Contracts, Differential Privacy, and Self-Sovereign Identities",10.1109/ACCESS.2025.3548404,0.9,HIGH
BES-0170,Permissioned Smart Contract Based e-Voting System for University,10.1109/NETCRYPT65877.2025.11102528,0.9,HIGH
BES-0171,Assessing the impact of adopting Blockchain technology in Electronic voting system: Empirical evidence from Bangladesh,10.58970/jsr.1113,0.9,HIGH
BES-0172,Decentralize Voting Storage System,10.55041/ijsrem53341,0.9,HIGH
BES-0173,"Fully Transparent, Privacy-Preserving Yet Verifiable, Attack-Resistant, and Practical Remote Electronic Voting Rendering Assured and Fair Elections",10.1109/TP.2025.3603141,0.9,HIGH
BES-0174,E-VoteChain: Securing Digital Elections,10.22214/ijraset.2025.68118,0.9,HIGH
BES-0175,Optimizing Gas Costs in Decentralized Voting Systems: A Smart Contract Approach,10.1109/ICSSES64899.2025.11009257,0.9,HIGH
BES-0176,IMPLEMENTASI SMART CONTRACT PADA E-VOTING DENGAN METODE PEER-TO-PEER BLOCKCHAIN ETHEREUM,10.30656/prosisko.v12i1.9136,0.7,MEDIUM
BES-0177,Smart Contract-Based Voting: Enhancing Integrity with Ethereum and Advanced Hashing,10.1109/NETCRYPT65877.2025.11102663,0.7,MEDIUM
BES-0179,Implementation of Smart Contracts in Electronic Voting (Case Study: Election of the President and Vice President POLNES Student Executive Board),10.30595/jrst.v9i2.26902,0.9,HIGH
BES-0180,Can Hybrid Consortium Blockchain Enable Free Voting in i-Voting?,10.1109/ICCE-Taiwan66881.2025.11208023,0.9,HIGH
BES-0181,"AuraVote: A Secure, Decentralized Voting System with AI-Powered Liveness and Identity Verification",10.61359/11.2206-2548,0.9,HIGH
BES-0182,Blockchain-Based Biometric Voting System Using Face and Fingerprint Authentication for Secure and Transparent Elections,10.1109/ICDDS67737.2025.11344716,0.9,HIGH
BES-0183,Generating efficient and semantic interoperable smart contracts for e-governance,10.1109/ICBC64466.2025.11185103,0.7,MEDIUM
BES-0184,INNOVATIVE METHODS OF ENCRYPTION AND STORAGE OF DATABASE PARTS IN DISTRIBUTED SYSTEMS BASED ON SMART CONTRACTS,10.23939/csn2025.02.134,0.9,HIGH
BES-0186,Implementation of Decentralized Systems in Electronic Election Applications,10.35879/jik.v19i3.695,0.9,HIGH
BES-0191,Blockchain and Machine Learning Powered Secure Online Voting System,10.32628/ijsrset25122297,0.7,MEDIUM
BES-0192,Blockchain-based decentralized voting system with SHA-256 algorithm and facial recognition,10.11591/ijres.v14.i2.pp481-489,0.9,HIGH
BES-0193,Blockchain-Based Autonomous Voting System Ethereum,10.22214/ijraset.2025.68143,0.9,HIGH
BES-0194,Blockchain-Based Consensus Algorithm for Decentralized Secure Voting Systems,10.1109/ICCR67387.2025.11292227,0.9,HIGH
BES-0196,Design and Scalability Performance Evaluation of Permissioned Blockchain Architecture for Online Voting System,10.11113/ijic.v15n1.527,0.9,HIGH
BES-0197,Secure And Transparent Voting System using Ethureum Blochchain,10.1109/ICIDCA66325.2025.11280362,0.9,HIGH
BES-0198,Are Voters Willing to Collectively Secure Elections? Unraveling a Practical Blockchain Voting System,10.1109/BRAINS67003.2025.11302910,0.9,HIGH
BES-0199,The Decentralized Voting System Using Blockchain,10.55041/ijsrem43776,0.9,HIGH
BES-0200,Novel Blockchain-based Protocols for Electronic Voting and Auctions,10.48550/arXiv.2507.03258,0.9,HIGH
BES-0201,Blockchain Voting Systems: A Leap Towards Electoral Security and Clarity,10.52783/jisem.v10i51s.10429,0.9,HIGH
BES-0202,Design and Implementation of a Secure and Transparent Decentralized Voting System using Blockchain Technology,10.55041/ijsrem46461,0.9,HIGH
BES-0203,Zero-Knowledge Proof-Enabled Blockchain Protocol for Tamper-Resistant Electronic Voting Systems,10.1109/ICCR67387.2025.11292404,0.9,HIGH
BES-0204,SecureVote: A Blockchain-Based Voting System with Biometric Fingerprint Authentication,10.55041/ijsrem55389,0.9,HIGH
BES-0205,Blockchain-Based Secure Voting System for Transparent Digital Elections in India,10.22214/ijraset.2025.73359,0.9,HIGH
BES-0206,Blockchain-Based Approach to Ensuring Transparency in Organizational Voting Processes,10.30837/bi.2025.2(103).08,0.9,HIGH
BES-0207,Scalable Internet Voting Through AI-Driven Facial Recognition and Blockchain: A De-Duplication-Based Approach to Secure Voter Identity,10.1109/ICCICA67008.2025.11337363,0.9,HIGH
BES-0208,"Secured Blockchain-Based Voting System Using ZKP, IPFS",10.22214/ijraset.2025.70767,0.9,HIGH
BES-0211,Development of a blockchain-based electronic voting system utilizing national identification number,10.11591/ijres.v14.i3.pp810-820,0.9,HIGH
BES-0215,VoteGuard: A Hybrid Blockchain-AI Framework for Secure Electronic Voting with Enhanced Biometric Authentication and Decentralized Integrity,10.22214/ijraset.2025.74239,0.9,HIGH
BES-0217,Project QSUeVoto: distributed electronic voting system based on blockchain technology,10.11591/ijeecs.v38.i1.pp272-280,0.7,MEDIUM
BES-0219,"Blockchain-enhanced electoral integrity: a robust model for secure digital voting systems in Oman [version 2; peer review: 2 approved, 1 approved with reservations, 1 not approved]",10.12688/f1000research.160087.2,0.9,HIGH
BES-0221,ENHANCED INFORMATION SECURITY FOR VOTING SYSTEM IN EMERGENCIES USING PAILLIER’S CRYPTOSYSTEM,10.37943/22fula2667,0.9,HIGH
BES-0232,Privacy Preserving E-Voting System Using Homomorphic Encryption,10.63856/y52wg044,0.9,HIGH
BES-0235,ADDRESSING SECURITY AND PRIVACY CONCERNS IN BLOCKCHAIN-BASED ELECTIONS,,0.7,MEDIUM
BES-0236,Створення блокчейн-платформи для електронного голосування,,0.7,MEDIUM
BES-0239,RFID-enabled electronic voting framework for secure democratic processes,10.3390/telecom6040078,0.9,HIGH
BES-0249,A Quantum Walk-Enabled Blockchain with Weighted Quantum Voting Consensus,,0.7,MEDIUM
BES-0251,SmartphoneDemocracy: Privacy-Preserving E-Voting on Decentralized Infrastructure using Novel European Identity,,0.9,HIGH
BES-0255,DAO-AI: Evaluating Collective Decision-Making through Agentic AI in Decentralized Governance,,0.7,MEDIUM
BES-0268,"Blockchain for securing electronic voting systems: a survey of architectures, trends, solutions, and challenges",10.1007/s10586-024-04709-8,0.9,HIGH
BES-0272,Blockchain-Based Electronic Voting System: Significance and Requirements,10.1155/2024/5591147,0.7,MEDIUM
BES-0274,Decentralizing Democracy: Secure and Transparent E-Voting Systems with Blockchain Technology in the Context of Palestine,10.3390/fi16110388,0.9,HIGH
BES-0278,"Transforming online voting: a novel system utilizing blockchain and biometric verification for enhanced security, privacy, and transparency",10.1007/s10586-023-04261-x,0.9,HIGH
BES-0282,<scp>DemocracyGuard</scp>: Blockchain‐based secure voting framework for digital democracy,10.1111/exsy.13694,0.9,HIGH
BES-0283,A biometrics-generated private/public key cryptography for a blockchain-based e-voting system,10.1016/j.eij.2024.100447,0.9,HIGH
BES-0286,Enhancing Security and Transparency in Online Voting through Blockchain Decentralization,10.1007/s42979-024-03286-2,0.9,HIGH
BES-0292,Blockchain Enabled Privacy- Preserved Secure e-voting System for Smart Cities,10.1109/icstem61137.2024.10560826,0.7,MEDIUM
BES-0293,A Voting System Based on Blockchain Technology,10.22214/ijraset.2024.59416,0.9,HIGH
BES-0296,Blockchain-Based E-Voting Mechanisms: A Survey and a Proposal,10.3390/network4040021,0.9,HIGH
BES-0301,An efficient and versatile e-voting scheme on blockchain,10.1186/s42400-024-00226-8,0.9,HIGH
BES-0304,Zero-knowledge Identity Authentication for E-voting System,10.58346/jisis.2024.i2.002,0.9,HIGH
BES-0305,Hyperledger Iroha for a Secure and Efficient Voting System,10.1109/idciot59759.2024.10467774,0.7,MEDIUM
BES-0306,Blockchain-based e-voting system in a university,10.11591/ijeecs.v34.i3.pp1915-1923,0.9,HIGH
BES-0307,Designing A Secure Large Scale E -Voting System Leveraging Sharding Blockchain with Interoperability Protocol and Consensus Mechanism,10.1109/iitcee59897.2024.10467713,0.9,HIGH
BES-0308,"Hybrid-Blockchain-Based Electronic Voting Machine System Embedded with Deepface, Sharding, and Post-Quantum Techniques",10.3390/blockchains2040017,0.9,HIGH
BES-0309,Intelligent Gesture-Enhanced Blockchain Voting: A New Era of Secure and Accessible E-Voting,10.1109/access.2024.3468338,0.9,HIGH
BES-0311,EtherVote: a secure smart contract-based e-voting system,10.1007/s11276-024-03818-x,0.9,HIGH
BES-0314,Transforming the voting process integrating blockchain into e-voting for enhanced transparency and securiy,10.12928/telkomnika.v22i2.25758,0.9,HIGH
BES-0315,A Methodology for Vulnerability Assessment and Threat Modelling of an e-Voting Platform Based on Ethereum Blockchain,10.1109/access.2024.3495981,0.9,HIGH
BES-0317,The impact of blockchain and artificial intelligence technologies in network security for e-voting,10.11591/ijece.v14i6.pp6723-6733,0.9,HIGH
BES-0318,Improving the End‐to‐End Protection in E‐Voting Using <scp>BVM</scp>—Blockchain‐Based E‐Voting Mechanism,10.1002/cpe.8324,0.9,HIGH
BES-0321,DECENTRALIZED ELECTRONIC VOTING WITH ETHEREUM BLOCKCHAIN IN DEMOCRATIC AND POLITICAL ELECTIONS,10.32890/jcia2024.3.2.5,0.9,HIGH
BES-0322,A Secure and Transparent Voting System using Blockchain Technology,10.22214/ijraset.2024.64927,0.9,HIGH
BES-0323,Analysis and design on acceptance of blockchain based e-voting system,10.11591/ijeecs.v33.i3.pp1793-1801,0.7,MEDIUM
BES-0324,Analysis of research on the implementation of Blockchain technologies in regional electoral processes,10.11591/ijece.v14i3.pp2854-2867,0.7,MEDIUM
BES-0325,Advancing E-Voting Security: Biometrics-Enhanced Blockchain for Privacy and VerifiAbility (Bebpv),10.54536/ajise.v3i3.3876,0.9,HIGH
BES-0326,An Improved Secure and Efficient E-Voting Scheme Based on Blockchain Systems,10.1109/jiot.2024.3507366,0.9,HIGH
BES-0329,Block Chain-Powered E-Voting System: A Secure and Transparent Solution with Three-Tiered OTP Security Mechanism,10.1109/ic2pct60090.2024.10486507,0.9,HIGH
BES-0331,Verifiable Random Function Schemes Based on SM2 Digital Signature Algorithm and its Applications for Committee Elections,10.1109/ojcs.2024.3463649,0.9,HIGH
BES-0334,Votereum: Blockchain based Secure Voting System,10.1109/ICPCSN62568.2024.00097,0.9,HIGH
BES-0335,Send Message to the Future? Blockchain-Based Time Machines for Decentralized Reveal of Locked Information,10.1109/TNSM.2025.3604833,0.9,HIGH
BES-0336,Quantum-Enhanced Secure Approval Voting Protocol,10.48550/arXiv.2406.19730,0.7,MEDIUM
BES-0337,Enhancing Security and Scalability in Electronic Voting Through Privacy-Preserving Cryptography and Efficient Data Structures,10.1109/Blockchain62396.2024.00093,0.9,HIGH
